,ROUTE_SHORT_NAME,STOP_ID,DIR,SEQ,HEADWAY_S,EOL,SOL,STOP_LAT,STOP_LON,DWELL_S,RUNTIME_S,TOTTIME_S,SERVMILES_S,RUNSPEED_S,TOTSPEED_S,Route,STOP,Boardings,Alightings,STOP NAME
421,N,7217,0,12,12.67251908,0,0,37.793152,-122.396431,0,539.6533333,539.6533333,51.87466667,5.77,5.77,N-JUDAH,EmbarcaderoSta,"3,304","1,245",Metro Embarcadero Station
414,N,6994,0,13,12.67251908,0,0,37.788791,-122.402127,0,198.83,198.83,56.57866667,17.07,17.07,N-JUDAH,MontgomerySta,"2,585",540,Metro Montgomery Station/Outbound
415,N,6995,0,14,12.67251908,0,0,37.7843,-122.407822,0,200.1366667,200.1366667,57.36266667,17.19666667,17.19666667,N-JUDAH,Powell Sta,"3,385",765,Metro Powell Station/Outbound
417,N,6997,0,15,12.67251908,0,0,37.778675,-122.414995,0,252.7166667,252.7166667,72.128,17.12666667,17.12666667,N-JUDAH,Civic Center Sta,"1,853",722,Metro Civic Center Station/Outbd
416,N,6996,0,16,12.67251908,0,0,37.775234,-122.41934,0,159.3166667,159.3166667,43.904,16.53666667,16.53666667,N-JUDAH,Van Ness Sta,"1,379",868,Van Ness Station Outbound
419,N,7162,0,17,13.76570048,0,1,37.769463,-122.429133,0,393,393,87.508,13.36,13.36,N-JUDAH,Tunnel Entry,0,0,Duboce Ave & Church St - Ramp
361,N,4447,0,38,12.16195077,0,0.333333333,37.769472,-122.429408,0,139.4733333,139.4733333,30.80333333,12.99666667,12.99666667,N-JUDAH,Duboce&Church,"1,677","1,274",Duboce Ave & Church St
423,N,7252,0,39,12.1620888,0,0,37.769392,-122.433694,0,161.9933333,161.9933333,32.43,12.01333333,12.01333333,,,,,
355,N,3909,0,40,12.16195077,0,0,37.765863,-122.449804,0,621.3466667,621.3466667,126.27,12.2,12.2,N-JUDAH,Carl&Cole,344,"2,219",Carl St & Cole St
359,N,3914,0,41,12.16195077,0,0,37.765495,-122.45259,0,102.04,102.04,21.39,12.58,12.58,,,,,
357,N,3912,0,42,12.16195077,0,0,37.765003,-122.456561,0,153.7,153.7,30.36,11.85333333,11.85333333,N-JUDAH,Carl&Hillway,67,341,Carl St & Hillway Ave
366,N,5118,0,43,12.16272372,0,0,37.764441,-122.458643,0,140.0133333,140.0133333,16.56,7.1,7.1,N-JUDAH,Irving&2nd,475,"1,530",Irving St & 2nd Ave
367,N,5119,0,44,12.16336784,0,0,37.764299,-122.460824,0,120.4266667,120.4266667,16.56,8.253333333,8.253333333,N-JUDAH,Irving&4th,59,321,Irving St & 4th Ave
369,N,5121,0,45,12.16433402,0,0,37.764155,-122.464034,0,177.4433333,177.4433333,24.288,8.21,8.21,N-JUDAH,Irving&7th,87,599,Irving St & 7th Ave
371,N,5123,0,46,12.16484932,0,0,37.764106,-122.466165,0,116.8333333,116.8333333,16.146,8.293333333,8.293333333,N-JUDAH,Irving&9th,404,"1,287",Irving St & 9th Ave
373,N,5193,0,47,12.16562227,0,0,37.762227,-122.466688,0,167.8966667,167.8966667,18.354,6.556666667,6.556666667,N-JUDAH,Judah&9th,636,699,Judah St & 9th Ave
375,N,5195,0,48,12.1663308,0,0,37.762069,-122.469324,0,146.1933333,146.1933333,20.01,8.216666667,8.216666667,N-JUDAH,Judah&12th,97,234,Judah St & 12th Ave
397,N,5219,0,49,12.16658845,0,0,37.762075,-122.470329,0,54.33666667,54.33666667,7.59,8.383333333,8.383333333,N-JUDAH,Judah&Funston,69,223,Judah St & Funston Ave
378,N,5198,0,50,12.16755464,0,0,37.761913,-122.473781,0,190.5233333,190.5233333,26.082,8.213333333,8.213333333,N-JUDAH,Judah&16th,44,470,Judah St & 16th Ave
379,N,5199,0,51,12.16839199,0,0,37.76174,-122.476825,0,179.96,179.96,23.046,7.683333333,7.683333333,N-JUDAH,Judah&19th,408,"1,240",Judah St & 19th Ave
382,N,5202,0,52,12.16839199,0,0,37.761547,-122.481164,0,181.7,181.7,32.844,10.84333333,10.84333333,N-JUDAH,Judah&23rd,230,744,Judah St & 23rd Ave
383,N,5203,0,53,12.16839199,0,0,37.761452,-122.4833,0,88.66,88.66,16.146,10.92666667,10.92666667,N-JUDAH,Judah&25th,199,543,Judah St & 25th Ave
385,N,5205,0,54,12.16839199,0,0,37.76131,-122.48651,0,134.3,134.3,24.288,10.85333333,10.85333333,N-JUDAH,Judah&28th,68,528,Judah St & 28th Ave
387,N,5207,0,55,12.16839199,0,0,37.761172,-122.489719,0,134.3,134.3,24.288,10.85333333,10.85333333,N-JUDAH,Judah&31st,80,633,Judah St & 31st Ave
389,N,5209,0,56,12.16839199,0,0,37.761028,-122.49293,0,134.3,134.3,24.288,10.85333333,10.85333333,N-JUDAH,Judah&34th,31,456,Judah St & 34th Ave
401,N,5224,0,57,12.16839199,0,0,37.760912,-122.495565,0,117.74,117.74,19.872,10.13,10.13,N-JUDAH,Judah&Sunset,73,547,Judah St & Sunset Blvd
402,N,5224,0,57,12.16839199,0,0,37.760912,-122.495565,0,117.74,117.74,19.872,10.13,10.13,N-JUDAH,Sunset Tunnel,496,807,Judah St & Sunset Blvd  
391,N,5211,0,58,12.16974465,0,0,37.760743,-122.499359,0,197.65,197.65,28.704,8.813333333,8.813333333,N-JUDAH,Judah&40th,28,641,Judah St & 40th Ave
393,N,5213,0,59,12.17090407,0,0,37.760598,-122.502574,0,165.9066667,165.9066667,24.288,8.886666667,8.886666667,N-JUDAH,Judah&43rd,19,626,Judah St & 43rd Ave
395,N,5215,0,60,12.17201518,0,0,37.760493,-122.505832,0,168.78,168.78,24.702,8.88,8.88,N-JUDAH,Judah&46th,0,"1,271",Judah St & 46th Ave
399,N,5221,0,61,12.17312629,0.333333333,0,37.760363,-122.509011,0,165.4966667,165.4966667,24.012,8.806666667,8.806666667,N-JUDAH,Judah&La Playa,0,701,Judah/La Playa/Ocean Beach
422,N,7219,0,62,12.2884058,1,0,37.760348,-122.509201,0,33.01666667,33.01666667,1.353333333,2.48,2.48,,,,,
445,N,,0,,,,,,,,,,,,,N-JUDAH,DuboceChurch,0,0,because they were to be added to the other duboce and church stop and since they have 0 ridership they have no effect
446,N,,0,,,,,,,,,,,,,N-JUDAH,King&6th,0,0,Not a Public Stop
454,N,3915,0,,,,,,,,,,,,,N-JUDAH,Carl&,114,606,Carl St & Stanyan St
400,N,5223,1,1,20.26813424,0,1,37.76017,-122.508777,0,0,0,0,0,0,N-JUDAH,Judah&La Playa,959,0,Judah/La Playa/Ocean Beach
396,N,5216,1,2,20.26480091,0,0,37.760392,-122.506064,0,123.0066667,123.0066667,20.562,10.03,10.03,N-JUDAH,Judah&46th,914,14,Judah St & 46th Ave
394,N,5214,1,3,20.26117772,0,0,37.760518,-122.502839,0,128.9833333,128.9833333,24.426,11.36333333,11.36333333,N-JUDAH,Judah&43rd,686,28,Judah St & 43rd Ave
