,ROUTE_SHORT_NAME,STOP_ID,DIR,HEADWAY_S,EOL,SOL,STOP_LAT,STOP_LON,DWELL_S,RUNTIME_S,TOTTIME_S,SERVMILES_S,RUNSPEED_S,TOTSPEED_S,Route,STOP,Boardings,Alightings,STOP NAME
164,KT,5779.0,1,29.237291746031747,0.0,0.0,37.728285,-122.467561,0.0,96.19333333333334,96.19333333333334,11.906666666666666,7.426666666666667,7.426666666666667,,,,,
165,KT,5780.0,0,9.454728146983983,0.0,0.0,37.728383,-122.467871,0.0,137.13666666666666,137.13666666666666,18.67233333333334,8.166666666666666,8.166666666666666,,,,,
176,KT,5806.0,1,29.237125767195767,0.0,0.0,37.729989,-122.46909699999999,0.0,144.91666666666666,144.91666666666666,18.173333333333332,7.526666666666666,7.526666666666666,,,,,
177,KT,5807.0,0,9.453993676096392,0.0,0.0,37.729945,-122.469475,0.0,149.93333333333337,149.93333333333337,21.224666666666664,8.493333333333334,8.493333333333334,,,,,
180,KT,6503.0,0,9.451973881155515,0.0,0.0,37.734807,-122.47161799999999,0.0,262.90333333333325,262.90333333333325,35.867,8.186666666666666,8.186666666666666,,,,,
181,KT,6739.0,0,16.096509485094852,0.0,0.0,37.740973,-122.46585799999998,0.0,558.96,558.96,212.42266666666663,22.813333333333333,22.813333333333333,,,,,
182,KT,6740.0,1,23.98008066614624,0.0,0.0,37.74092,-122.465777,0.0,198.26666666666665,198.26666666666665,10.668666666666669,1.9799999999999998,1.9799999999999998,,,,,
185,KT,6992.0,1,22.88481540764454,1.0,0.0,37.793143,-122.396396,0.0,207.61333333333332,207.61333333333332,53.02633333333332,15.323333333333332,15.323333333333332,KT-INGLESIDE/THIRD,Embar Sta,,,Metro Embarcadero Station
194,KT,7109.0,1,29.237513227513233,0.0,0.0,37.734825,-122.471446,0.0,229.91333333333333,229.91333333333333,27.698666666666668,7.226666666666667,7.226666666666667,,,,,
200,KT,7217.0,0,16.002070511903057,1.0,0.0,37.793152,-122.396431,0.0,509.3666666666666,509.3666666666666,48.963333333333345,5.77,5.77,KT-INGLESIDE/THIRD,Embarc Sta,,,Metro Embarcadero Station
221,KT,7380.0,0,15.395833333333334,0.0,0.0,37.78957,-122.388489,0.0,201.60000000000002,201.60000000000002,41.03999999999999,12.21,12.21,,,,,
222,KT,7380.0,1,16.933473389355743,0.0,0.0,37.78957,-122.388489,0.0,86.87000000000003,86.87000000000003,10.828999999999999,7.48,7.48,,,,,
254,L,6614.0,0,9.648437500000002,0.0,0.0,37.743204,-122.473429,0.0,92.16000000000004,92.16000000000004,14.976000000000004,9.75,9.75,,,,,
255,L,6615.0,1,16.555628255208333,0.0,0.0,37.743068,-122.473705,0.0,123.94000000000001,123.94000000000001,14.848000000000008,7.19,7.19,,,,,
279,L,6640.0,0,9.648437500000002,0.0,0.0,37.742267,-122.494218,0.0,67.83999999999997,67.83999999999997,10.624,9.4,9.4,,,,,
280,L,6641.0,1,16.560628255208332,0.0,0.0,37.742179,-122.49465100000002,0.0,175.62000000000003,175.62000000000003,25.727999999999994,8.79,8.79,,,,,
281,L,6736.0,0,9.648236607142858,0.0,0.0,37.741535,-122.46846999999998,0.0,115.39999999999996,115.39999999999996,19.072000000000003,9.913333333333334,9.913333333333334,,,,,
282,L,6737.0,1,16.548440755208333,0.0,0.0,37.741435,-122.4688,0.0,150.66000000000003,150.66000000000003,17.536,6.98,6.98,,,,,
283,L,6739.0,0,10.219675925925927,0.0,0.0,37.740973,-122.46585799999998,0.0,174.4766666666667,174.4766666666667,72.68799999999997,25.19666666666667,25.19666666666667,L-TARAVAL,West PortalStat,,,West Portal Station
304,M,3715.0,1,18.891130604288502,0.0,0.0,37.713191,-122.45892099999999,0.0,120.9933333333333,120.9933333333333,18.695999999999998,9.270000000000001,9.270000000000001,,,,,
