,ROUTE,STOP NAME,DIRECTION,STOP ID,STOP SEQ,Number of Trips in Time Period,Stop Latitude,Stop Longitude
173,L-Taraval ,Taraval St & 35th Ave,INBOUND,6631,9,6,37.742237,-122.49296000000001
174,L-Taraval ,Taraval St & 35th Ave,OUTBOUND,6630,22,9,37.74235,-122.49271
176,L-Taraval ,Taraval St & 40th Ave,OUTBOUND,6632,24,9,37.742123,-122.49805500000001
175,L-Taraval ,Taraval St & 40th Ave,INBOUND,6633,7,6,37.741993,-122.49831999999999
177,L-Taraval ,Taraval St & 42nd Ave,INBOUND,6635,6,6,37.7419,-122.50046499999999
178,L-Taraval ,Taraval St & 42nd Ave,OUTBOUND,6634,25,9,37.742020000000004,-122.5002
179,L-Taraval ,Taraval St & 44th Ave,INBOUND,6637,5,6,37.741802,-122.50261
180,L-Taraval ,Taraval St & 44th Ave,OUTBOUND,6636,26,9,37.741924,-122.50233999999999
181,L-Taraval ,Taraval St & 46th Ave,OUTBOUND,6638,27,9,37.741825,-122.50448600000001
183,L-Taraval ,Taraval St & Sunset Blvd,OUTBOUND,6640,23,9,37.742287,-122.49436000000001
182,L-Taraval ,Taraval St & Sunset Blvd,INBOUND,6641,8,6,37.742188,-122.494514
303,N-Judah ,The Embarcadero & Brannan St,INBOUND,4506,35,4,37.78436,-122.38813999999999
304,N-Judah ,The Embarcadero & Brannan St,OUTBOUND,7145,4,12,37.78463,-122.38798
92,KT-Ingleside/Third Street ,The Embarcadero & Brannan St,INBOUND,4506,26,15,37.78436,-122.38813999999999
93,KT-Ingleside/Third Street ,The Embarcadero & Brannan St,OUTBOUND,7145,23,26,37.78463,-122.38798
94,KT-Ingleside/Third Street ,The Embarcadero & Folsom St,INBOUND,4509,24,15,37.79048,-122.38969399999999
305,N-Judah ,The Embarcadero & Folsom St,INBOUND,4509,33,4,37.79048,-122.38969399999999
95,KT-Ingleside/Third Street ,The Embarcadero & Folsom St,OUTBOUND,4510,26,26,37.79075,-122.38983999999999
306,N-Judah ,The Embarcadero & Folsom St,OUTBOUND,4510,6,12,37.79075,-122.38983999999999
96,KT-Ingleside/Third Street ,Third Street & 20th St,INBOUND,7362,34,15,37.760376,-122.38856000000001
97,KT-Ingleside/Third Street ,Third Street & 20th St,OUTBOUND,7355,15,26,37.76052,-122.38856000000001
98,KT-Ingleside/Third Street ,Third Street & 23rd St,INBOUND,7363,35,15,37.755287,-122.388016
99,KT-Ingleside/Third Street ,Third Street & 23rd St,OUTBOUND,7354,14,26,37.755417,-122.388
100,KT-Ingleside/Third Street ,Third Street & Carroll Ave,INBOUND,7344,44,15,37.725464,-122.39426
101,KT-Ingleside/Third Street ,Third Street & Carroll Ave,OUTBOUND,7343,5,26,37.72549,-122.394226
