,EDD_EMP,Total_Housing_Units,MUNI_RAIL_AVG,AVG_BART,SHR_INCOME_100P,PARK_HOURLY_AVG_ON,ONTIME5
1290,211,3464,0,0,0.565470085,0,0.38276606
1291,362,3464,0,0,0.565470085,0,0.381099162
1292,569,764,0,0,0.065312046,0,0.66409048
1293,461,764,0,0,0.065312046,154,0.526993797
1294,40,764,0,0,0.065312046,0,0.65498475
1295,28,764,0,0,0.065312046,154,0.539565546
1296,47,764,0,0,0.065312046,154,0.557364151
1297,42,764,0,0,0.065312046,0,0.652190361
1298,26,764,0,0,0.065312046,154,0.543138211
1299,1681,2591,0,0,0.093890386,187,0.635973314
1300,262,2283,0,0,0.066593886,205,0.611646611
1301,311,2283,0,0,0.066593886,205,0.623980635
1302,15567,1222,0,0,0.127155172,210,0.895238095
1303,15567,1222,0,0,0.127155172,210,0.646387756
1304,15567,1222,0,0,0.127155172,210,0.822017831
1305,15567,1222,0,0,0.127155172,210,0.580882353
1307,2,2547,0,0,0.37755102,0,0.611340059
1308,75,2391,0,0,0.487885986,0,0.618726135
1309,27,2391,0,0,0.487885986,0,0.660989037
1310,192,2059,0,0,0.254971953,0,0.722208346
1311,192,2059,0,0,0.254971953,0,0.479928989
1312,192,2059,0,0,0.254971953,0,0.80843742
1313,192,2059,0,0,0.254971953,200,0.794981993
1314,192,2059,0,0,0.254971953,200,0.976890756
1315,192,2059,0,0,0.254971953,200,0.914621026
1316,142,2417,0,0,0.338612017,0,0.710647542
1317,142,2417,0,0,0.338612017,0,0.46833751
1318,142,2417,0,0,0.338612017,0,0.794393767
1319,142,2417,0,0,0.338612017,200,0.784842474
1320,142,2417,0,0,0.338612017,200,0.969585959
1321,156,2417,0,0,0.338612017,200,0.69351408
1322,156,2417,0,0,0.338612017,200,0.520080818
1323,53,2417,0,0,0.338612017,200,0.760491735
1325,53,2417,0,0,0.338612017,200,0.974947479
1326,55,2417,0,0,0.338612017,0,0.701201286
1328,55,2417,0,0,0.338612017,0,0.439191729
1329,51,2417,0,0,0.338612017,200,0.741235584
1330,51,2417,0,0,0.338612017,200,0.762847222
1331,51,2417,0,0,0.338612017,200,0.939298845
1332,32,2417,0,0,0.338612017,0,0.697448611
1334,32,2417,0,0,0.338612017,0,0.395770677
1335,31,2417,0,0,0.338612017,200,0.73097723
1337,31,2417,0,0,0.338612017,200,0.883455882
1338,24,3334,0,0,0.351449275,0,0.673666568
1339,24,3334,0,0,0.351449275,0,0.441964286
1340,35,3334,0,0,0.351449275,0,0.637713867
1341,35,3334,0,0,0.351449275,0,0.827770763
1342,31,3334,0,0,0.351449275,0,0.665354361
1343,31,3334,0,0,0.351449275,0,0.441964286
1344,26,3334,0,0,0.351449275,200,0.666996013
1345,26,3334,0,0,0.351449275,200,0.832821268
1346,75,3334,0,0,0.351449275,0,0.66326855
1347,75,3334,0,0,0.351449275,0,0.441964286
1348,75,3334,0,0,0.351449275,200,0.704746329
1349,75,3334,0,0,0.351449275,200,0.832821268
1350,94,2438,0,0,0.362010221,0,0.664672225
1351,94,2438,0,0,0.362010221,0,0.46577381
1352,71,2438,0,0,0.362010221,200,0.708659234
1353,71,2438,0,0,0.362010221,200,0.893385241
1354,54,1044,0,0,0.686879824,0,0.65973607
1355,54,1044,0,0,0.686879824,0,0.489583333
1356,47,2438,0,0,0.362010221,0,0.7504651
1357,47,2438,0,0,0.362010221,0,0.882968575
1358,45,1044,0,0,0.686879824,0,0.646723142
1359,45,1044,0,0,0.686879824,0,0.489583333
1360,47,2438,0,0,0.362010221,0,0.758569105
1361,47,2438,0,0,0.362010221,0,0.907810746
1362,617,2059,0,0,0.254971953,0,0.741276334
